ADM0_NAME,ADM1_NAME,ADM2_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,pop_1960,pop_2001
Brunei Darussalam,Brunei and Muara,Berakas A,2.110287495,3.018622785,30.98318548,24.51752271,201.1458264,332.0826984,0.980220837,0.8734388,0.986826047,0.93944209,2.091657261,2.969031808,30.50927612,24.11336896,205.4153972,308.700435,32.56811073,24.32407387,32.09745153,24.10945364,22528.74435,35712.30384
Brunei Darussalam,Brunei and Muara,Berakas B,2.118287435,3.000586759,30.88538818,24.42813721,200.8498592,335.5082113,0.973512538,0.876956195,0.9830225,0.949831556,2.098141594,2.951064421,30.4032822,24.0200374,205.0539733,312.0322544,33.42602132,24.10802888,32.78967975,23.82225629,24165.483,36806.51759
Brunei Darussalam,Belait,Bukit Sawat,1.617841289,2.968661132,31.12569889,24.22227642,196.157143,292.3468902,0.779467078,0.327410496,0.821618329,0.291721358,1.596637199,2.910290217,30.67114161,23.77212412,202.4856286,270.5474646,28.43769895,22.5189372,28.4344561,22.54196276,379.5627885,606.5793976
Brunei Darussalam,Belait,Kuala Balai,1.66959761,2.982240188,31.15946697,24.11749925,193.7515446,275.9748344,0.769649599,0.319273579,0.7900775,0.285925086,1.642313376,2.92244479,30.72313216,23.66299165,200.7320205,255.708802,27.96754644,22.94364542,28.22620745,22.65132711,5.898935298,106.4037164
Brunei Darussalam,Belait,Kuala Belait,2.100927227,3.038777432,31.20918171,24.14681112,192.53194,270.5259986,0.856407852,0.527395102,0.90970882,0.641184243,2.072376674,2.979289125,30.78996485,23.70618804,199.5390288,250.9560319,28.6441006,23.02244274,29.29817824,23.09158887,24353.59728,32807.81991
Brunei Darussalam,Belait,Labi,1.413644787,2.915553486,31.01030581,23.97090703,192.9545803,284.8397809,0.700256113,0.276479523,0.756226619,0.266676751,1.387046372,2.855695592,30.56487371,23.50932576,200.0617291,263.9031335,27.86779357,22.55559999,28.21151591,22.59927642,689.5352829,1020.243092
Brunei Darussalam,Belait,Liang,1.988905218,3.01698926,31.158831,24.26899669,195.7948627,284.9102862,0.858423326,0.513638894,0.903720701,0.543849503,1.967950925,2.959011066,30.71172147,23.82714478,201.997616,264.06112,29.29207842,22.83478681,29.1652345,22.93361707,9489.891692,12914.87338
Brunei Darussalam,Belait,Melilas,1.105332353,2.834508339,30.99230418,23.98420243,192.6862001,311.5224654,0.61246369,0.179090277,0.693827129,0.171842001,1.075562418,2.775614376,30.54426662,23.52805098,199.8401036,286.9894699,28.09998527,21.626001,27.87235582,22.32050679,10.9448874,109.1389616
Brunei Darussalam,Belait,Seria,1.991468696,3.022033776,31.175644,24.20316767,194.5255585,274.626463,0.852235229,0.504238383,0.891887923,0.518361727,1.966111467,2.963231882,30.74172491,23.7588775,201.1393902,254.4550519,29.19178289,22.77644168,29.23585876,22.97005984,10255.63732,13745.96011
Brunei Darussalam,Belait,Sukang,1.263483522,2.885704467,31.0220146,24.06092239,194.5890086,304.289704,0.700059528,0.21091791,0.759277332,0.195040144,1.238310724,2.827036182,30.57073065,23.60602544,201.370768,280.8251167,27.84486705,22.14321024,27.92608017,22.38795022,85.81871263,151.5427869
