ADM0_NAME,ADM1_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,ADM0_NAME.y,pop_1960,pop_2001
Brunei Darussalam,Belait,1.643900088,2.95805851,31.1066809,24.12184788,194.1238547,287.3795528,0.766120302,0.357305521,0.815793044,0.364325102,1.618288644,2.899076654,30.6646945,23.67134103,200.8957856,265.9307738,28.41823165,22.55263313,28.54623587,22.68703614,Brunei Darussalam,45270.88691,61462.56136
Brunei Darussalam,Brunei and Muara,2.007412856,3.001497483,31.02997878,24.50703452,202.1223193,333.6031471,0.951136487,0.7864943,0.967281842,0.86056953,1.988430431,2.950946652,30.55627344,24.09834546,206.6208153,309.5092191,30.45927596,23.58261628,30.24487095,23.41088362,Brunei Darussalam,170973.3745,278086.5916
Brunei Darussalam,Temburong,1.669928487,2.832390193,30.46646374,23.79621063,201.3180905,335.8425682,0.56752411,0.298555942,0.620180235,0.308891419,1.635378741,2.781510335,29.98057139,23.37637681,206.0263723,308.899643,27.68533104,21.38652678,27.73512505,21.99984788,Brunei Darussalam,8188.751778,11620.04266
Brunei Darussalam,Tutong,1.845375532,2.988038632,31.09676775,24.36247752,198.941061,313.2952589,0.826885988,0.455924971,0.87549647,0.464130022,1.828816016,2.933670575,30.64397596,23.93801968,204.4715441,289.7075542,28.67747942,22.71413851,28.89628653,22.65776378,Brunei Darussalam,29927.10647,41994.07978
Cambodia,Area under National Administration 1,1.426560003,2.84059067,32.34779568,23.49555007,235.3435016,104.6276355,0.889325631,0.593732068,0.928116976,0.62330612,1.381954677,2.743909877,31.76810906,22.78268687,230.3606418,104.9356987,26.59649315,26.38029598,26.59492566,26.3585038,Cambodia,29280.04551,14711.45245
Cambodia,Area under National Administration 2,2.621162879,3.03004697,31.88252525,24.69917929,209.9335101,246.1367424,0.880868061,0.587659042,0.909827066,0.602056332,2.51792067,2.92138624,31.39260902,24.03622814,209.1612281,241.8652993,27.05371546,24.14860317,26.90443187,25.21496021,Cambodia,0,91.38362538
Cambodia,Banteay Meanchey,1.449655153,2.806823962,33.27067949,23.36049791,229.8292489,94.8923702,0.939488424,0.588155695,0.967085295,0.637433137,1.359532908,2.701786368,32.74398636,22.62685609,224.2627388,95.60095133,32.06985767,22.39603215,33.79712901,23.08141297,Cambodia,507066.6279,703013.7003
Cambodia,Battambang,1.354782375,2.798791749,32.41283275,23.2654938,223.933972,122.1589502,0.853653743,0.56462185,0.945875091,0.640682392,1.34230723,2.697799752,31.86038844,22.529131,218.9817237,122.2542889,30.40258753,21.68776559,32.62407387,22.55755637,Cambodia,708360.1505,1208661.574
Cambodia,Kampong Cham,1.605670019,2.823020764,32.42682899,23.65557567,224.9604461,145.0710367,0.95987361,0.695681255,0.983322497,0.75365194,1.638426599,2.724551402,31.81946125,22.94728225,220.4581709,145.9382233,30.1478234,22.60290836,31.96775947,23.3790829,Cambodia,1464901.983,1725533.986
Cambodia,Kampong Chhnang,1.484221153,2.834269485,32.45404875,23.97928376,226.8065891,125.0578221,0.947448271,0.681467901,0.966800526,0.69537652,1.503803905,2.7380284,31.84783103,23.24581909,222.5871419,125.8954373,30.54383972,23.48462232,31.59111519,23.91935543,Cambodia,333418.4577,483176.9506
Cambodia,Kampong Speu,1.554991801,2.822893205,32.02502151,24.1244261,215.7633965,117.0625214,0.914140832,0.702935785,0.945315002,0.781169004,1.617326782,2.723136687,31.45747278,23.40336688,212.5456819,115.8444784,31.62023859,22.03947613,33.05525139,23.35361766,Cambodia,487450.7568,758319.8554
Cambodia,Kampong Thom,1.589601271,2.800744815,32.38391671,23.47659795,231.2859878,129.7732157,0.878415604,0.55787372,0.947154776,0.604786287,1.590796803,2.705847366,31.75939029,22.75004113,225.9706846,131.3283382,30.14339815,22.78123565,31.48619316,23.10899049,Cambodia,499070.075,653999.9927
Cambodia,Kampot,2.034832832,2.918876407,31.23287675,24.21943146,207.7063468,173.9127755,0.884070927,0.715093267,0.927530607,0.807509194,2.067381475,2.808746947,30.69161114,23.50443934,205.2232859,171.6640559,30.19295064,21.93796629,31.4240942,23.05410063,Cambodia,461976.5906,620796.5546
Cambodia,Kandal,1.458315628,2.879142261,32.33723497,24.29089017,221.3673987,108.6376503,0.964969888,0.771360192,0.984461786,0.843705865,1.51900232,2.777742822,31.75513963,23.57233051,217.7960867,107.6060987,29.30085724,23.28979795,30.46442267,23.8706161,Cambodia,865396.7231,1331502.241
Cambodia,Kep,2.484803628,3.011984701,31.23549865,24.56751127,206.5007729,182.5325511,0.935279293,0.751734474,0.980864163,0.877605154,2.499175523,2.894992545,30.70189717,23.85592041,204.2476063,180.0174883,29.51741166,22.34261883,30.60815109,23.32341221,Cambodia,22203.95381,37748.62114
Cambodia,Koh Kong,2.001028437,2.828094342,31.0114473,23.10832769,211.4227126,254.6299893,0.587557807,0.351580023,0.650945323,0.393483025,2.059266788,2.725932681,30.47689667,22.40211177,208.6785759,253.646408,27.95744196,20.40779955,28.30931461,21.48331381,Cambodia,124403.5381,134435.8849
Cambodia,Kratie,1.636971605,2.762068155,32.14054504,22.66122981,225.1063784,156.2033157,0.823159195,0.48733025,0.954633197,0.559913435,1.662599352,2.665161547,31.53520961,21.95347848,219.9432735,158.5445248,28.54947028,21.74134901,31.20284436,23.00094666,Cambodia,238681.8426,348515.6404
Cambodia,Mondul Kiri,1.802878623,2.527940124,30.29215524,20.61805906,221.5074818,172.5199717,0.448549311,0.356460294,0.539245703,0.401589898,1.861418081,2.434448688,29.70209925,19.86955459,217.0076673,173.1900554,27.76473377,19.76154673,29.04479075,21.31277677,Cambodia,21149.85746,82697.71231
Cambodia,Otdar Meanchey,1.589787993,2.745736611,32.78335333,22.72806228,236.8644493,116.2423188,0.822983329,0.429342101,0.955686307,0.532182889,1.438565084,2.643003122,32.27146409,22.04215713,230.5002622,116.1928392,30.51197815,21.95253025,32.40013156,22.77364531,Cambodia,59173.65884,393057.58
